# RTM v1 — feature #07 掲示板（製品 BBS 4 入口 · スレッド/投稿 append-only · component-board · IHL rebuild salvage-adapt）
# 列: req_id,design_section,test_case_id,test_layer,automation,status
# req 母集合: 01-要件/07-掲示板.md の FR-BBS-01..16 + NFR-BBS-01..05
# status: existing=既存pytest緑 / planned=差分TC(IMPL段) / review=設計レビュー受入 / human=人間ゲート / xref=他機能で実証 / gap=IHL未採用/未配線 / deferred=将来retrofit/UI層/別境界
req_id,design_section,test_case_id,test_layer,automation,status
FR-BBS-01,§1.2 §7 P1 file-board,UAT-07-07,acceptance,review,gap
FR-BBS-02,§7 P1 registry同期,UAT-07-07,acceptance,review,gap
FR-BBS-03,§7 P1 区分,UAT-07-07,acceptance,review,gap
FR-BBS-04,§7 P1 RAG取込,UAT-07-07,acceptance,review,gap
FR-BBS-05,§3.2 §3.3 §3.4,UT-07-01,unit,pytest,existing
FR-BBS-06,§3.1 §4 IA,IT-07-01,integration,pytest,existing
FR-BBS-07,§1.2 §7 P3 rescue,UAT-07-06,acceptance,review,gap
FR-BBS-08,§7 P1 apply,UAT-07-07,acceptance,review,gap
FR-BBS-09,§7 P1 legacy archive,UAT-07-07,acceptance,review,gap
FR-BBS-10,§3.5 §7 P2 component-board,IT-07-05,integration,pytest,planned
FR-BBS-11,§1.2 §7 P4 engagement指摘,UAT-07-05,acceptance,review,xref
FR-BBS-12,§7 P4 board_pointer,UAT-07-05,acceptance,review,xref
FR-BBS-13,§7 P4 錨,UAT-07-05,acceptance,review,xref
FR-BBS-14,§3.1 §4 入口4,IT-07-01,integration,pytest,existing
FR-BBS-15,§2.1 §3.3 case分類,UT-07-03,unit,pytest,planned
FR-BBS-16,§7 P5 caseフィルタUI,UAT-07-04,acceptance,review,deferred
NFR-BBS-01,§4 §6 INSERT ONLY,UT-07-04,unit,pytest,planned
NFR-BBS-02,§6 GitHub+R2正本,ST-07-05,system,pytest,review
NFR-BBS-03,§6 §7 P1 CI負荷,UAT-07-07,acceptance,review,gap
NFR-BBS-04,§6 空状態,IT-07-06,integration,pytest,planned
NFR-BBS-05,§5 §6 FeatureNode,IT-07-01,integration,pytest,review
