# RTM v1 — feature #06 マーケット（非エスクロー P2P · 出品状態機械 · 取引ステージ · GMO 8% · IHL rebuild salvage-adapt）
# 列: req_id,design_section,test_case_id,test_layer,automation,status
# req 母集合: 01-要件/06-マーケット.md の FR-MKT-01..15 + NFR-MKT-01..06
# status: existing=既存pytest緑 / planned=差分TC(IMPL段) / review=設計レビュー受入 / human=人間ゲート / xref=他機能で実証 / gap=IHL未配線(草案/設計のみ) / deferred=将来retrofit/別境界
req_id,design_section,test_case_id,test_layer,automation,status
FR-MKT-01,§3.1 §4 一覧,IT-06-01,integration,pytest,existing
FR-MKT-02,§3.3 §4.1 状態機械,UT-06-01,unit,pytest,existing
FR-MKT-03,§2.1 §4.1 現在状態,UT-06-05,unit,pytest,planned
FR-MKT-04,§7 P3 auction,UAT-06-07,acceptance,review,gap
FR-MKT-05,§7 P4 engagement,UAT-06-07,acceptance,review,deferred
FR-MKT-06,§6 非エスクロー,ST-06-06,system,pytest,review
FR-MKT-07,§2.3 §3.5 §6 8%,UT-06-07,unit,pytest,planned
FR-MKT-08,§6 住所非保持,ST-06-07,system,pytest,review
FR-MKT-09,§3.5 §7 P6 GMO,UAT-06-08,acceptance,manual,human
FR-MKT-10,§7 R2シンク,UAT-06-01,acceptance,review,deferred
FR-MKT-11,§2.2 公開ログ,IT-06-07,integration,pytest,existing
FR-MKT-12,§3.1 §3.2 UI,IT-06-02,integration,pytest,existing
FR-MKT-13,§5 取引ステージ成立,UT-06-04,unit,pytest,existing
FR-MKT-14,§1.2 §7 P1 抽選,UAT-06-07,acceptance,review,gap
FR-MKT-15,§1.2 §7 P2 プラチナ順,UAT-06-07,acceptance,review,gap
NFR-MKT-01,§6 政策最新行,UAT-06-01,acceptance,review,review
NFR-MKT-02,§4.1 §6 INSERT ONLY,ST-06-08,system,pytest,planned
NFR-MKT-03,§6 §7 P7 認可,IT-06-05,integration,pytest,gap
NFR-MKT-04,§3.2 §7.1 テスト,IT-06-04,integration,pytest,existing
NFR-MKT-05,§6 憲法整合,UAT-06-04,acceptance,review,review
NFR-MKT-06,§7 P7 listing-registry無認証,IT-06-05,integration,review,gap
