rtm_doc,rtm_item,rtm_status,type,v3_ids,note
00-プロダクト方針・MVP・拡張安全枠-v1-DRAFT.md,FR-MVP-01/02/03 観測収集・写真登録・詳細ビュー（観測MVPコア）,実装済み,absorbed,V3-OBS-22;V3-OBS-23;V3-OBS-24,MVP観測コア(収集・写真・詳細)はV3観測MVPスコープに吸収
00-プロダクト方針・MVP・拡張安全枠-v1-DRAFT.md,FR-MVP-04 親個体連携（individual_id/sire_id/dam_id）,実装済み,absorbed,V3-IND-01,親個体連携(sire/dam)はV3-IND-01に吸収
00-プロダクト方針・MVP・拡張安全枠-v1-DRAFT.md,FR-MVP-05 QRコード発行・スキャン・観測再開,部分実装,absorbed,V3-OBS-20,QR発行/スキャン/観測再開はV3-OBS-20に吸収
00-プロダクト方針・MVP・拡張安全枠-v1-DRAFT.md,§1.6 ver2延期スコープ（アキネーター OBS-TGT-03 / SwitchBot OBS-ENV-02〜06 / タグ洗練 OBS-TAG-01）,人間ゲート,absorbed,V3-OBS-02;V3-OBS-28;V3-OBS-63,アキネーター/SwitchBot/タグ洗練はver2延期概念ごとV3観測に吸収済み
00-プロダクト方針・MVP・拡張安全枠-v1-DRAFT.md,§1.1 MVP v1除外（#06マーケット/#10マチアプ/#11裁判）,対象外,absorbed,V3-FND-30,#06/#10/#11のv1 OUTスコープ判断はV3-FND-30に明記
00-プロダクト方針・MVP・拡張安全枠-v1-DRAFT.md,FR-CONTENT-NAV-01〜07 知の広場ハブ（/knowledge 3タブ）,人間ゲート,absorbed,V3-BBS-01;V3-WIK-16;V3-UIX-52,知の広場ハブ/knowledgeはV3-BBS-01(3柱)+記事CMS+論文filterに吸収
00-プロダクト方針・MVP・拡張安全枠-v1-DRAFT.md,D-MVP-05 Personal Sandbox Realm（サンドボックス環境）,未実装,absorbed,V3-FND-31,Personal Sandbox RealmはV3-FND-31/UIX-48に吸収
00-土台-MiniKernel-C-USB-コンポーネント.md,FOUND-S01〜S10 MiniScreenKernel/C-USB構造（World→FeatureNode→Kernel→Component）,対象外,absorbed,V3-FND-13;V3-FND-14,World→FeatureNode→Kernel→Component/C-USB階層はV3-FND-13/14に思想吸収(RTMは対象外扱いだがV3は概念採用)
00-土台-MiniKernel-C-USB-コンポーネント.md,FOUND-D02/D05/D06 R2 INSERT ONLY・no-overwrite・常駐DB禁止（IHL側思想共有）,実装済み,absorbed,V3-FND-01,R2 INSERT ONLY/no-overwriteはV3-FND-01に吸収
00-土台-MiniKernel-C-USB-コンポーネント.md,FOUND-D07/D08 run_id・schema_version・provenance・value_origin付与,部分実装,absorbed,V3-FND-15;V3-PPR-09;V3-OBS-06,run_id/schema_version/provenance/value_originはV3-FND-15+PPR-09+OBS-06に吸収
00-土台-MiniKernel-C-USB-コンポーネント.md,FOUND-N01〜N08 非機能（RAG検索性・OSS薄ラップ・類似検索等）,部分実装,absorbed,V3-FND-03;V3-AIP-46;V3-OBS-10,RAG検索性/OSS薄ラップ/類似検索はV3-FND-03+AIP-46+OBS-10に吸収
00-土台-MiniKernel-C-USB-コンポーネント.md,FOUND-M05 Phase0受入（R2実接続・raw登録・no-overwrite証跡）,人間ゲート,absorbed,V3-FND-01;V3-AIP-49,Phase0受入(R2実接続/no-overwrite証跡)はno-overwrite原則+テスト文化に吸収(受入マイルストーン自体はプロセス)
01-ログイン.md,FR-LOGIN-01〜03 マジックリンク発行・dev_token・register連携,実装済み,absorbed,V3-AUT-01;V3-AUT-05;V3-AUT-09,マジックリンク発行/dev_token/register連携はV3-AUT-01/05/09に吸収
01-ログイン.md,FR-LOGIN-04/05 検証(verify)・セッション発行・遷移,実装済み,absorbed,V3-AUT-02;V3-AUT-03,verify(ワンタイム)/セッション発行はV3-AUT-02/03に吸収
01-ログイン.md,FR-LOGIN-06/08 セッション解決(session)・resolve_actor_id,実装済み,absorbed,V3-AUT-17;V3-AUT-19,session解決/resolve_actor_idはV3-AUT-17/19に吸収
01-ログイン.md,FR-LOGIN-07 観測READ公開（Scope A・未ログイン可）,実装済み,absorbed,V3-AUT-15;V3-AUT-16;V3-OBS-39,観測READ公開Scope AはV3-AUT-15/16+OBS-39に吸収
01-ログイン.md,FR-LOGIN-09 401後の再ログイン導線・retrofit（v2 §7 P4）,人間ゲート,absorbed,V3-AUT-12;V3-UIX-31,401後の再ログイン導線はV3-AUT-12(307誘導)+UIX-31(行き止まり導線)に吸収
01-ログイン.md,NFR-LOGIN-01 PIIハッシュ化（メールをハッシュ保存・平文非保持）,実装済み,absorbed,V3-SEC-07,PIIハッシュ化(メール平文非保持)はV3-SEC-07に吸収
01-ログイン.md,NFR-LOGIN-06 本番メール送信（magic link SMTP）,人間ゲート,absorbed,V3-AUT-04,本番SMTP鍵投入(人間ゲート)はV3-AUT-04に吸収
02-利用規約.md,FR-10/FR-UX-03 規約閲覧API（未認証可・草案版メタ）,実装済み,absorbed,V3-SEC-20;V3-AUT-13,規約閲覧API(未認証可)はV3-SEC-20+AUT-13に吸収
02-利用規約.md,FR-13/21 同意イベント記録（/api/v1/legal/agree）,実装済み,absorbed,V3-SEC-20;V3-SEC-23,同意イベント記録/再同意はV3-SEC-20/23に吸収
02-利用規約.md,FR-14/NFR-05 append-only同意記録（INSERT ONLY・複数同意=別ファイル）,実装済み,absorbed,V3-FND-01,append-only同意記録はV3-FND-01+SEC-55に吸収
02-利用規約.md,FR-LEGAL-03 草案条項フラグ（is_draft・legal_gate=HUMAN-02-LEGAL）,人間ゲート,absorbed,V3-UIX-01;V3-SEC-24,草案条項フラグ(is_draft)+法務文言人間ゲートはV3-UIX-01+SEC-24に吸収
02-利用規約.md,FR-EASY-01〜03/FR-VIDEO-01〜03/FR-RESOLVER-01〜04（やさしい版・動画二層・resolver）,未実装,absorbed,V3-SEC-21;V3-SEC-22,やさしい版/動画二層/resolverはV3-SEC-21/22+AUT-21に吸収
02-利用規約.md,NFR-04 トレーサ（条項マトリクス・RTM整合）,実装済み,absorbed,V3-AIP-07,トレーサ(条項マトリクス/RTM整合)はV3-AIP-07に吸収
03-新規登録.md,FR-REG-05/12/15 登録ステータス遷移（pending→complete）,実装済み,absorbed,V3-AUT-10;V3-AUT-09,登録ステータス遷移(pending→complete)はV3-AUT-10(オンボーディング)+AUT-09に吸収
03-新規登録.md,FR-REG-07 handle検証（形式・必須エラー）,実装済み,absorbed,V3-AUT-08,handle検証(形式)はV3-AUT-08に吸収
03-新規登録.md,FR-REG-13 冪等409（重複登録防止）,実装済み,absorbed,V3-AUT-09,冪等409(重複登録防止)はオープン登録V3-AUT-09に吸収(409冪等の明記は薄いが登録機構内)
03-新規登録.md,FR-REG-19/21 規約同意必須（register時agree_terms必須）,実装済み,absorbed,V3-AUT-06;V3-SEC-20,規約同意必須(register時)はV3-AUT-06+SEC-20に吸収
03-新規登録.md,FR-REG-06a/UT-03-08/11 locale必須・language記録,実装済み,absorbed,V3-I18-02;V3-AUT-35,locale必須/language記録はV3-I18-02+AUT-35に吸収
03-新規登録.md,FR-REG-08/16 handle重複チェックAPI（check-handle）,未実装,absorbed,V3-AUT-07,handle重複チェックAPI(check-handle)はV3-AUT-07に吸収
03-新規登録.md,FR-REG-10/11/23/27 twin tour・別メール再登録・未完ログイン継続・genesis特例,人間ゲート,absorbed,V3-AUT-24;V3-AUT-29;V3-AUT-10,genesis特例/別メール再登録/未完ログイン継続はV3-AUT-24/29/10に吸収(twin tourはUIX-73系)
04-ホーム画面.md,H-010〜H-014・H-020: ヒーロー/CTA/アカウント要約/Action Cards「今日の要約」,実装済み,absorbed,V3-UIX-25;V3-UIX-29,ホームのヒーロー/CTA/Action CardsはV3-UIX-25(司令塔)+UIX-29(リンク密度)に吸収(5カードラベル差は実装差)
04-ホーム画面.md,H-030〜H-033: 文明ミニマップ（観測ペース・Twin信頼度・テンプレ成長 3指標・フォールバック・ローディング）,部分実装,absorbed,V3-UIX-26,文明ミニマップ3指標はV3-UIX-26に吸収
