# RTM v1 — feature #23 GMO振込（transfer-code · webhook · reconciliation · IHL rebuild）
# 列: req_id,design_section,test_case_id,test_layer,automation,status
# v0 8列→6列標準移行（2026-07-03 · MAD-WAVE-2）
req_id,design_section,test_case_id,test_layer,automation,status
FR-GMO-01,§3 webhook,UT-23-03,unit,pytest,existing
FR-GMO-02,§4 照合,UT-23-04,unit,pytest,planned
FR-GMO-03,§5 8%連携,IT-23-03,integration,pytest,gap
FR-GMO-04,§4 R2 INSERT,ST-23-01,system,pytest,existing
FR-GMO-05,§2 transfer-code,UT-23-01,unit,pytest,existing
FR-GMO-06,§3 unsent,UT-23-05,unit,pytest,gap
FR-GMO-07,§1 live人間ゲート,UAT-23-05,acceptance,manual,human
FR-GMO-08,§4.2 部分入金,UT-23-07,unit,pytest,gap
FR-GMO-09,§4.2 過入金,ST-23-03,system,pytest,gap
FR-GMO-10,§4.2 返金不提供,UAT-23-03,acceptance,review,review
NFR-GMO-01,§6 署名401,IT-23-04,integration,pytest,existing
NFR-GMO-02,§6 idempotency,ST-23-02,system,pytest,planned
NFR-GMO-03,§6 governance,ST-23-04,system,pytest,review
NFR-GMO-04,§6 短理由,UAT-23-03,acceptance,review,planned
