# RTM v1 — feature #12 設定（preferences · locale · trade PII · dev/admin トグル · IHL rebuild）
# 列: req_id,design_section,test_case_id,test_layer,automation,status
# req 母集合: 01-要件/12-設定.md の FR-SET(19) + NFR-SET(5) = 24
# status: existing=既存pytest緑 / planned=差分TC(IMPL段で追加) / review=設計レビュー受入(旧doc含む) / human=人間ゲート / xref=他機能で実証 / gap=IHL未配線(設計のみ) / deferred=将来retrofit/UI層
# 注: v0 の 8 列形式(requirement/impl_path/notes 付)から 6 列標準へ移行。impl_path/notes は git 履歴・parity claims 参照。partial→planned · doc→review にマップ。
req_id,design_section,test_case_id,test_layer,automation,status
FR-SET-01,§3.5 auth guard,UAT-12-01,acceptance,review,planned
FR-SET-02,§1.2 §7 paper LLM,UT-12-07,unit,pytest,gap
FR-SET-03,§1.2 §7 solid LLM,UT-12-07,unit,pytest,gap
FR-SET-04,§1.2 §7 dev toggle,UT-12-08,unit,pytest,gap
FR-SET-05,§3.5 admin導線,UT-12-08,unit,pytest,gap
FR-SET-06,§1.2 capability,UAT-12-09,acceptance,review,gap
FR-SET-07,§1.2 web push,UAT-12-02,acceptance,review,gap
FR-SET-08,§1.2 IA分離,UAT-12-09,acceptance,review,review
FR-SET-09,§2.1 §3.2 allowed frozenset,UT-12-03,unit,pytest,existing
FR-SET-09,§2.1 §3.2 patch merge,IT-12-02,integration,pytest,existing
FR-SET-10,§6 no-unimplemented,UAT-12-10,acceptance,review,review
FR-SET-11,§2.1 §3.2 locale,UT-12-01,unit,pytest,existing
FR-SET-11,§2.1 §3.2 locale,UAT-12-01,acceptance,review,existing
FR-SET-12,§5 UI全文切替,UAT-12-01,acceptance,review,gap
FR-SET-13,§5 locale独立,UAT-12-01,acceptance,review,review
FR-SET-14,§5 非ブロック,UAT-12-01,acceptance,review,review
FR-SET-15,§3.2 preferences統合,UT-12-02,unit,pytest,existing
FR-SET-15,§3.2 preferences統合,IT-12-01,integration,pytest,existing
FR-SET-16,§4 §7 局留め,IT-12-04,integration,pytest,gap
FR-SET-17,§2.3 §4 pii-session,UT-12-05,unit,pytest,planned
FR-SET-17,§2.3 §4 counterparty,IT-12-03,integration,pytest,planned
FR-SET-18,§4 口座直書き禁止,UAT-12-08,acceptance,review,gap
FR-SET-19,§4 completeness,IT-12-05,integration,pytest,xref
FR-SET-19,§4 completeness,UAT-12-05,acceptance,review,xref
NFR-SET-01,§6 key非返却,UT-12-06,unit,pytest,existing
NFR-SET-01,§6 key非返却,ST-12-02,system,pytest,existing
NFR-SET-02,§6 即時反映,UT-12-08,unit,pytest,gap
NFR-SET-03,§6 保存中disabled,UAT-12-01,acceptance,review,planned
NFR-SET-04,§6 data-testid,ST-12-05,system,pytest,gap
NFR-SET-05,§6 IA段階移行,UAT-12-10,acceptance,review,deferred
