# RTM v1 — feature #01 ログイン（マジックリンク認証 · セッション · IHL rebuild）
# 列: req_id,design_section,test_case_id,test_layer,automation,status
# req 母集合: 01-要件/01-ログイン.md の FR-LOGIN(11) + NFR-LOGIN(8) = 19
# status: existing=既存pytest緑 / planned=差分TC(IMPL段で追加) / review=設計レビュー受入 / human=人間ゲート / xref=他機能で実証 / gap=IHL未実装(v2 §7 P4 将来retrofit)
req_id,design_section,test_case_id,test_layer,automation,status
FR-LOGIN-01,§3.3 register,IT-01-06,integration,pytest,existing
FR-LOGIN-01,§3.3 register,IT-01-07,integration,pytest,planned
FR-LOGIN-01,§3.1 magic-link,UAT-01-01,acceptance,review,review
FR-LOGIN-02,§2.1 §3.1,UT-01-01,unit,pytest,planned
FR-LOGIN-02,§2.1 TTL,UT-01-03,unit,pytest,planned
FR-LOGIN-03,§3.1 dev_token,IT-01-01,integration,pytest,existing
FR-LOGIN-03,§3.1 dev_token,UAT-01-02,acceptance,review,review
FR-LOGIN-04,§3.2 verify,UT-01-04,unit,pytest,planned
FR-LOGIN-04,§3.2 verify,IT-01-02,integration,pytest,existing
FR-LOGIN-04,§3.4 error,IT-01-04,integration,pytest,planned
FR-LOGIN-04,§4.1 lifecycle,ST-01-01,system,pytest,existing
FR-LOGIN-04,§3.2 verify,UAT-01-03,acceptance,review,review
FR-LOGIN-05,§4.3 遷移,ST-01-01,system,pytest,existing
FR-LOGIN-05,§4.3 遷移,UAT-01-04,acceptance,review,review
FR-LOGIN-06,§2.2 session,UT-01-08,unit,pytest,planned
FR-LOGIN-06,§4.2 session,UAT-01-05,acceptance,review,review
FR-LOGIN-07,§1.2 §4.3,ST-01-02,system,pytest,xref
FR-LOGIN-07,§1.2 境界,UAT-01-06,acceptance,review,review
FR-LOGIN-08,§2.2 resolve,UT-01-09,unit,pytest,planned
FR-LOGIN-08,§3.4 401,UAT-01-06,acceptance,review,review
FR-LOGIN-09,§3.4 §7 P4,IT-01-RATE,integration,pytest,gap
FR-LOGIN-09,§7 P4 retrofit,UAT-01-11,acceptance,review,gap
FR-LOGIN-10,§4.3 error導線,UAT-01-04,acceptance,review,review
FR-LOGIN-10,§3.4 error,UAT-01-07,acceptance,review,review
FR-LOGIN-11,§4.3 authenticated,UAT-01-05,acceptance,review,review
NFR-LOGIN-01,§2.1 §6,UT-01-02,unit,pytest,planned
NFR-LOGIN-01,§6 PII,UT-01-10,unit,pytest,existing
NFR-LOGIN-01,§2.3 audit,IT-01-08,integration,pytest,planned
NFR-LOGIN-01,§2.3 actor_id,IT-01-09,integration,pytest,planned
NFR-LOGIN-01,§6 PII静的,ST-01-05,system,grep,review
NFR-LOGIN-01,§6 PII受入,UAT-01-08,acceptance,review,review
NFR-LOGIN-02,§4.1 onetime,UT-01-05,unit,pytest,planned
NFR-LOGIN-02,§2.1 TTL,UT-01-06,unit,pytest,planned
NFR-LOGIN-02,§4.1 onetime,IT-01-05,integration,pytest,planned
NFR-LOGIN-02,§4.1 通し,ST-01-03,system,pytest,existing
NFR-LOGIN-03,§3.1 fallback,IT-01-01,integration,pytest,existing
NFR-LOGIN-03,§6 可用性,UAT-01-09,acceptance,review,review
NFR-LOGIN-04,§6 テスト,UT-01-11,unit,pytest,planned
NFR-LOGIN-04,§7 parity,ST-01-04,system,node,existing
NFR-LOGIN-05,§6 a11y,UAT-01-07,acceptance,review,review
NFR-LOGIN-06,§3.1 dev非露出,IT-01-03,integration,pytest,planned
NFR-LOGIN-06,§6 本番メール,UAT-01-10,acceptance,human,human
NFR-LOGIN-07,§1.2 §6 失効なし,UAT-01-05,acceptance,review,review
NFR-LOGIN-08,§6 i18n,UAT-01-07,acceptance,review,review
